Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Canada,CAN,2005,7.418,42046.86958,32164313,
Canada,CAN,2007,7.482,45888.47633,32930795,
Canada,CAN,2008,7.486,45851.63025,33337638,
Canada,CAN,2009,7.488,44003.61704,33746093,
Canada,CAN,2010,7.65,44861.52396,34147566,
Canada,CAN,2011,7.426,45822.59643,34539156,
Canada,CAN,2012,7.415,46126.51389,34922031,
Canada,CAN,2013,7.594,46704.76224,35296535,
Canada,CAN,2014,7.304,47564.60911,35664338,
Canada,CAN,2015,7.413,47522.14067,36026668,North America
Canada,CAN,2016,7.245,47457.58535,36382942,
Canada,CAN,2017,7.415,48317.09658,36732091,
Canada,CAN,2018,7.175,48796.81378,37074558,
Canada,CAN,2019,7.109,49006.74311,37411038,
Canada,CAN,2020,7.025,45856.62563,37742157,
United States,USA,2006,7.182,55368.35972,297758977,
United States,USA,2007,7.513,55873.24474,300608425,
United States,USA,2008,7.28,55271.65747,303486022,
United States,USA,2009,7.158,53399.36563,306307565,
United States,USA,2010,7.164,54315.91248,309011469,
United States,USA,2011,7.115,54758.83327,311584051,
United States,USA,2012,7.026,55581.41384,314043885,
United States,USA,2013,7.249,56214.42868,316400539,
United States,USA,2014,7.151,57213.26784,318673422,
United States,USA,2015,6.864,58540.29609,320878312,North America
United States,USA,2016,6.804,59112.24221,323015992,
United States,USA,2017,6.992,60109.65573,325084758,
United States,USA,2018,6.883,61585.75604,327096263,
United States,USA,2019,6.944,62630.87328,329064917,
United States,USA,2020,7.028,60235.72849,331002647,
Mexico,MEX,2005,6.581,17788.58912,106005199,
Mexico,MEX,2007,6.525,18462.84012,109170503,
Mexico,MEX,2008,6.829,18396.81092,110815272,
Mexico,MEX,2009,6.963,17168.97733,112463886,
Mexico,MEX,2010,6.802,17790.01192,114092961,
Mexico,MEX,2011,6.91,18186.22457,115695468,
Mexico,MEX,2012,7.32,18594.89447,117274156,
Mexico,MEX,2013,7.443,18600.37118,118827158,
Mexico,MEX,2014,6.68,18887.56744,120355137,
Mexico,MEX,2015,6.236,19268.9144,121858251,North America
Mexico,MEX,2016,6.824,19539.26125,123333379,
Mexico,MEX,2017,6.41,19721.26098,124777326,
Mexico,MEX,2018,6.55,19928.39566,126190782,
Mexico,MEX,2019,6.432,19701.33767,127575529,
Mexico,MEX,2020,5.964,17887.75074,128932753,
Iran,IRN,2005,5.308,11998.21486,69762345,
Iran,IRN,2007,5.336,13324.90784,71336476,
