month_key,country_key,health_key,domestic_health_expenditure,num_hospital_beds,num_physicians,num_nurses,immunization_bcg,immunization_dpt,immunization_hepb,immunization_measles,immunization_polio,mort_infant,mort_infant_male,mort_infant_female,mort_non_communicable_disease,mort_non_communicable_disease_male,mort_non_communicable_disease_female,mort_unintentional_poison,mort_unintentional_poison_male,mort_unintentional_poison_female,mort_traffic_injury,mort_traffic_injury_male,mort_traffic_injury_female,mort_maternal,stillbirth_rate,fertility_rate
1,1,1,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
2,1,2,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
3,1,3,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
4,1,4,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
5,1,5,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
6,1,6,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
7,1,7,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
8,1,8,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
9,1,9,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
10,1,10,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
11,1,11,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
12,1,12,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13,6,11,2.971604709,1.5434
13,1,13,6.79418945,3.02,1.9086,10.0236,,95,14,93,95,5.1,5.6,4.7,12.3,14.7,9.9,0.2,0.3,0.2,9.1,12.3,6,11,3.037840866,1.5862
14,1,14,6.79418945,3.02,1.9086,10.0236,,95,14,93,95,5.1,5.6,4.7,12.3,14.7,9.9,0.2,0.3,0.2,9.1,12.3,6,11,3.037840866,1.5862
15,1,15,6.79418945,3.02,1.9086,10.0236,,95,14,93,95,5.1,5.6,4.7,12.3,14.7,9.9,0.2,0.3,0.2,9.1,12.3,6,11,3.037840866,1.5862
