code,name,quarter,year,decade
1,January,1,2005,2000
2,February,1,2005,2000
3,March,1,2005,2000
4,April,2,2005,2000
5,May,2,2005,2000
6,June,2,2005,2000
7,July,3,2005,2000
8,August,3,2005,2000
9,September,3,2005,2000
10,October,4,2005,2000
11,November,4,2005,2000
12,December,4,2005,2000
1,January,1,2006,2000
2,February,1,2006,2000
3,March,1,2006,2000
4,April,2,2006,2000
5,May,2,2006,2000
6,June,2,2006,2000
7,July,3,2006,2000
8,August,3,2006,2000
9,September,3,2006,2000
10,October,4,2006,2000
11,November,4,2006,2000
12,December,4,2006,2000
1,January,1,2007,2000
2,February,1,2007,2000
3,March,1,2007,2000
4,April,2,2007,2000
5,May,2,2007,2000
6,June,2,2007,2000
7,July,3,2007,2000
8,August,3,2007,2000
9,September,3,2007,2000
10,October,4,2007,2000
11,November,4,2007,2000
12,December,4,2007,2000
1,January,1,2008,2000
2,February,1,2008,2000
3,March,1,2008,2000
4,April,2,2008,2000
5,May,2,2008,2000
6,June,2,2008,2000
7,July,3,2008,2000
8,August,3,2008,2000
9,September,3,2008,2000
10,October,4,2008,2000
11,November,4,2008,2000
12,December,4,2008,2000
1,January,1,2009,2000
2,February,1,2009,2000
3,March,1,2009,2000
4,April,2,2009,2000
5,May,2,2009,2000
6,June,2,2009,2000
7,July,3,2009,2000
8,August,3,2009,2000
9,September,3,2009,2000
10,October,4,2009,2000
11,November,4,2009,2000
12,December,4,2009,2000
1,January,1,2010,2010
2,February,1,2010,2010
3,March,1,2010,2010
4,April,2,2010,2010
5,May,2,2010,2010
6,June,2,2010,2010
7,July,3,2010,2010
8,August,3,2010,2010
9,September,3,2010,2010
10,October,4,2010,2010
11,November,4,2010,2010
12,December,4,2010,2010
1,January,1,2011,2010
2,February,1,2011,2010
3,March,1,2011,2010
4,April,2,2011,2010
5,May,2,2011,2010
6,June,2,2011,2010
7,July,3,2011,2010
8,August,3,2011,2010
9,September,3,2011,2010
10,October,4,2011,2010
11,November,4,2011,2010
12,December,4,2011,2010
1,January,1,2012,2010
2,February,1,2012,2010
3,March,1,2012,2010
4,April,2,2012,2010
5,May,2,2012,2010
6,June,2,2012,2010
7,July,3,2012,2010
8,August,3,2012,2010
9,September,3,2012,2010
10,October,4,2012,2010
11,November,4,2012,2010
12,December,4,2012,2010
1,January,1,2013,2010
2,February,1,2013,2010
3,March,1,2013,2010
4,April,2,2013,2010
5,May,2,2013,2010
6,June,2,2013,2010
7,July,3,2013,2010
8,August,3,2013,2010
9,September,3,2013,2010
10,October,4,2013,2010
11,November,4,2013,2010
12,December,4,2013,2010
1,January,1,2014,2010
2,February,1,2014,2010
3,March,1,2014,2010
4,April,2,2014,2010
5,May,2,2014,2010
6,June,2,2014,2010
7,July,3,2014,2010
8,August,3,2014,2010
9,September,3,2014,2010
10,October,4,2014,2010
11,November,4,2014,2010
12,December,4,2014,2010
1,January,1,2015,2010
2,February,1,2015,2010
3,March,1,2015,2010
4,April,2,2015,2010
5,May,2,2015,2010
6,June,2,2015,2010
7,July,3,2015,2010
8,August,3,2015,2010
9,September,3,2015,2010
10,October,4,2015,2010
11,November,4,2015,2010
12,December,4,2015,2010
1,January,1,2016,2010
2,February,1,2016,2010
3,March,1,2016,2010
4,April,2,2016,2010
5,May,2,2016,2010
6,June,2,2016,2010
7,July,3,2016,2010
8,August,3,2016,2010
9,September,3,2016,2010
10,October,4,2016,2010
11,November,4,2016,2010
12,December,4,2016,2010
1,January,1,2017,2010
2,February,1,2017,2010
3,March,1,2017,2010
4,April,2,2017,2010
5,May,2,2017,2010
6,June,2,2017,2010
7,July,3,2017,2010
8,August,3,2017,2010
9,September,3,2017,2010
10,October,4,2017,2010
11,November,4,2017,2010
12,December,4,2017,2010
1,January,1,2018,2010
2,February,1,2018,2010
3,March,1,2018,2010
4,April,2,2018,2010
5,May,2,2018,2010
6,June,2,2018,2010
7,July,3,2018,2010
8,August,3,2018,2010
9,September,3,2018,2010
10,October,4,2018,2010
11,November,4,2018,2010
12,December,4,2018,2010
1,January,1,2019,2010
2,February,1,2019,2010
3,March,1,2019,2010
4,April,2,2019,2010
5,May,2,2019,2010
6,June,2,2019,2010
7,July,3,2019,2010
8,August,3,2019,2010
9,September,3,2019,2010
10,October,4,2019,2010
11,November,4,2019,2010
12,December,4,2019,2010
1,January,1,2020,2020
2,February,1,2020,2020
3,March,1,2020,2020
4,April,2,2020,2020
5,May,2,2020,2020
6,June,2,2020,2020
7,July,3,2020,2020
8,August,3,2020,2020
9,September,3,2020,2020
10,October,4,2020,2020
11,November,4,2020,2020
12,December,4,2020,2020
