nutrition_key,country_key,month_key,hyperten,hyperten_male,hyperten_female,overweight,overweight_male,overweight_female,undernour,anemia_preg,anemia_non_preg,anemia_child,low_weight_babies
1,1,1,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
2,1,2,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
3,1,3,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
4,1,4,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
5,1,5,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
6,1,6,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
7,1,7,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
8,1,8,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
9,1,9,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
10,1,10,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
11,1,11,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
12,1,12,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
13,1,13,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
14,1,14,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
15,1,15,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
16,1,16,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
17,1,17,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
18,1,18,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
19,1,19,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
20,1,20,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
21,1,21,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
22,1,22,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
23,1,23,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
24,1,24,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
25,1,25,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
26,1,26,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
27,1,27,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
28,1,28,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
29,1,29,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
30,1,30,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
31,1,31,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
32,1,32,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
33,1,33,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
34,1,34,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
35,1,35,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
36,1,36,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
37,1,37,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
38,1,38,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
39,1,39,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
40,1,40,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
41,1,41,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
42,1,42,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
43,1,43,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
44,1,44,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
45,1,45,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
46,1,46,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
47,1,47,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
48,1,48,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
49,1,49,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
50,1,50,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
51,1,51,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
52,1,52,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
53,1,53,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
54,1,54,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
55,1,55,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
56,1,56,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
57,1,57,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
58,1,58,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
59,1,59,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
60,1,60,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
61,1,61,24.6,26.9,22.5,61.2,67.0,55.5,2.5,14.6,8.5,10.4,6.1272964
62,1,62,24.6,26.9,22.5,61.2,67.0,55.5,2.5,14.6,8.5,10.4,6.1272964
63,1,63,24.6,26.9,22.5,61.2,67.0,55.5,2.5,14.6,8.5,10.4,6.1272964
64,1,64,24.6,26.9,22.5,61.2,67.0,55.5,2.5,14.6,8.5,10.4,6.1272964
