month_key,country_key,population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
1,1,1,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
2,1,2,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
3,1,3,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
4,1,4,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
5,1,5,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
6,1,6,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
7,1,7,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
8,1,8,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
9,1,9,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
10,1,10,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
