month_key,country_key,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
1,1,1,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
2,1,2,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
3,1,3,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
4,1,4,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
5,1,5,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
6,1,6,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
7,1,7,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
8,1,8,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
9,1,9,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
10,1,10,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
11,1,11,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
12,1,12,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
13,1,13,6.32,6.52,6.09,11.2,16.9,5.7,99.75033789,99.86800895,99.27332025,99.23461957,99.47343153,98.26651823,0,0.5,0.7,2.2,2.8,0.5
