month_key,code,name,quarter,year,decade
1,1,January,1,2005,2000
2,2,February,1,2005,2000
3,3,March,1,2005,2000
4,4,April,2,2005,2000
5,5,May,2,2005,2000
6,6,June,2,2005,2000
7,7,July,3,2005,2000
8,8,August,3,2005,2000
9,9,September,3,2005,2000
10,10,October,4,2005,2000
11,11,November,4,2005,2000
12,12,December,4,2005,2000
13,1,January,1,2006,2000
14,2,February,1,2006,2000
15,3,March,1,2006,2000
16,4,April,2,2006,2000
17,5,May,2,2006,2000
18,6,June,2,2006,2000
19,7,July,3,2006,2000
20,8,August,3,2006,2000
21,9,September,3,2006,2000
22,10,October,4,2006,2000
23,11,November,4,2006,2000
24,12,December,4,2006,2000
25,1,January,1,2007,2000
26,2,February,1,2007,2000
27,3,March,1,2007,2000
28,4,April,2,2007,2000
29,5,May,2,2007,2000
30,6,June,2,2007,2000
31,7,July,3,2007,2000
32,8,August,3,2007,2000
33,9,September,3,2007,2000
34,10,October,4,2007,2000
35,11,November,4,2007,2000
36,12,December,4,2007,2000
37,1,January,1,2008,2000
38,2,February,1,2008,2000
39,3,March,1,2008,2000
40,4,April,2,2008,2000
41,5,May,2,2008,2000
42,6,June,2,2008,2000
43,7,July,3,2008,2000
44,8,August,3,2008,2000
45,9,September,3,2008,2000
46,10,October,4,2008,2000
47,11,November,4,2008,2000
48,12,December,4,2008,2000
49,1,January,1,2009,2000
50,2,February,1,2009,2000
51,3,March,1,2009,2000
52,4,April,2,2009,2000
53,5,May,2,2009,2000
54,6,June,2,2009,2000
55,7,July,3,2009,2000
56,8,August,3,2009,2000
57,9,September,3,2009,2000
58,10,October,4,2009,2000
59,11,November,4,2009,2000
60,12,December,4,2009,2000
61,1,January,1,2010,2010
62,2,February,1,2010,2010
63,3,March,1,2010,2010
64,4,April,2,2010,2010
65,5,May,2,2010,2010
66,6,June,2,2010,2010
67,7,July,3,2010,2010
68,8,August,3,2010,2010
69,9,September,3,2010,2010
70,10,October,4,2010,2010
71,11,November,4,2010,2010
72,12,December,4,2010,2010
73,1,January,1,2011,2010
74,2,February,1,2011,2010
75,3,March,1,2011,2010
76,4,April,2,2011,2010
77,5,May,2,2011,2010
78,6,June,2,2011,2010
79,7,July,3,2011,2010
80,8,August,3,2011,2010
81,9,September,3,2011,2010
82,10,October,4,2011,2010
83,11,November,4,2011,2010
84,12,December,4,2011,2010
85,1,January,1,2012,2010
86,2,February,1,2012,2010
87,3,March,1,2012,2010
88,4,April,2,2012,2010
89,5,May,2,2012,2010
90,6,June,2,2012,2010
91,7,July,3,2012,2010
92,8,August,3,2012,2010
93,9,September,3,2012,2010
94,10,October,4,2012,2010
95,11,November,4,2012,2010
96,12,December,4,2012,2010
97,1,January,1,2013,2010
98,2,February,1,2013,2010
99,3,March,1,2013,2010
100,4,April,2,2013,2010
101,5,May,2,2013,2010
102,6,June,2,2013,2010
103,7,July,3,2013,2010
104,8,August,3,2013,2010
105,9,September,3,2013,2010
106,10,October,4,2013,2010
107,11,November,4,2013,2010
108,12,December,4,2013,2010
109,1,January,1,2014,2010
110,2,February,1,2014,2010
111,3,March,1,2014,2010
112,4,April,2,2014,2010
113,5,May,2,2014,2010
114,6,June,2,2014,2010
115,7,July,3,2014,2010
116,8,August,3,2014,2010
117,9,September,3,2014,2010
118,10,October,4,2014,2010
119,11,November,4,2014,2010
120,12,December,4,2014,2010
121,1,January,1,2015,2010
122,2,February,1,2015,2010
123,3,March,1,2015,2010
124,4,April,2,2015,2010
125,5,May,2,2015,2010
126,6,June,2,2015,2010
127,7,July,3,2015,2010
128,8,August,3,2015,2010
129,9,September,3,2015,2010
130,10,October,4,2015,2010
131,11,November,4,2015,2010
132,12,December,4,2015,2010
133,1,January,1,2016,2010
134,2,February,1,2016,2010
135,3,March,1,2016,2010
136,4,April,2,2016,2010
137,5,May,2,2016,2010
138,6,June,2,2016,2010
139,7,July,3,2016,2010
140,8,August,3,2016,2010
141,9,September,3,2016,2010
142,10,October,4,2016,2010
143,11,November,4,2016,2010
144,12,December,4,2016,2010
145,1,January,1,2017,2010
146,2,February,1,2017,2010
147,3,March,1,2017,2010
148,4,April,2,2017,2010
149,5,May,2,2017,2010
150,6,June,2,2017,2010
151,7,July,3,2017,2010
152,8,August,3,2017,2010
153,9,September,3,2017,2010
154,10,October,4,2017,2010
155,11,November,4,2017,2010
156,12,December,4,2017,2010
157,1,January,1,2018,2010
158,2,February,1,2018,2010
159,3,March,1,2018,2010
160,4,April,2,2018,2010
161,5,May,2,2018,2010
162,6,June,2,2018,2010
163,7,July,3,2018,2010
164,8,August,3,2018,2010
165,9,September,3,2018,2010
166,10,October,4,2018,2010
167,11,November,4,2018,2010
168,12,December,4,2018,2010
169,1,January,1,2019,2010
170,2,February,1,2019,2010
171,3,March,1,2019,2010
172,4,April,2,2019,2010
173,5,May,2,2019,2010
174,6,June,2,2019,2010
175,7,July,3,2019,2010
176,8,August,3,2019,2010
177,9,September,3,2019,2010
178,10,October,4,2019,2010
179,11,November,4,2019,2010
180,12,December,4,2019,2010
181,1,January,1,2020,2020
182,2,February,1,2020,2020
183,3,March,1,2020,2020
184,4,April,2,2020,2020
185,5,May,2,2020,2020
186,6,June,2,2020,2020
187,7,July,3,2020,2020
188,8,August,3,2020,2020
189,9,September,3,2020,2020
190,10,October,4,2020,2020
191,11,November,4,2020,2020
192,12,December,4,2020,2020
