year_key,country_key,nutrition_key,hyperten,hyperten_male,hyperten_female,overweight,overweight_male,overweight_female,undernour,anemia_preg,anemia_non_preg,anemia_child,low_weight_babies
2005,1,1,26.2,28.6,23.9,58.6,64.4,52.8,2.5,14.7,8.6,10.3,5.969686
2006,1,2,25.9,28.2,23.6,59.2,65.0,53.4,2.5,14.6,8.5,10.3,6.013186
2007,1,3,25.6,27.9,23.3,59.7,65.5,53.9,2.5,14.6,8.5,10.3,6.0473971
2008,1,4,25.2,27.5,23.0,60.2,66.0,54.4,2.5,14.6,8.5,10.3,6.0756211
2009,1,5,24.9,27.2,22.7,60.7,66.5,54.9,2.5,14.6,8.5,10.4,6.1011519
2010,1,6,24.6,26.9,22.5,61.2,67.0,55.5,2.5,14.6,8.5,10.4,6.1272964
2011,1,7,24.3,26.5,22.2,61.7,67.5,56.0,2.5,14.6,8.6,10.5,6.1573453
2012,1,8,24.0,26.2,21.9,62.2,67.9,56.5,2.5,14.7,8.7,10.7,6.1946039
2013,1,9,23.7,25.9,21.6,62.7,68.4,57.0,2.5,14.8,8.8,10.9,6.2423706
2014,1,10,23.4,25.6,21.3,63.2,68.9,57.5,2.5,15.0,8.9,11.2,6.3039384
2015,1,11,23.1,25.3,21.0,63.7,69.3,58.0,2.5,15.2,9.1,11.5,6.3826098
2016,1,12,22.9,25.0,20.8,64.1,69.8,58.5,2.5,15.4,9.3,11.8,6.3826098
2017,1,13,22.6,24.8,20.5,64.1,69.8,58.5,2.5,15.5,9.5,12.2,6.3826098
2018,1,14,22.4,24.5,20.2,64.1,69.8,58.5,2.5,15.7,9.8,12.7,6.3826098
2019,1,15,22.1,24.3,19.9,64.1,69.8,58.5,2.5,16.0,10.2,13.2,6.3826098
2020,1,16,22.1,24.3,19.9,64.1,69.8,58.5,2.5,16.0,10.2,13.2,6.3826098
2005,1,17,31.7,33.3,30.0,61.9,67.0,57.0,2.5,9.2,8.1,5.9,8.150034
2006,1,18,31.8,33.5,30.0,62.5,67.6,57.6,2.5,9.3,8.4,5.8,8.1813936
2007,1,19,31.8,33.6,30.1,63.1,68.1,58.2,2.5,9.5,8.6,5.8,8.1905003
2008,1,20,31.9,33.6,30.1,63.7,68.7,58.8,2.5,9.6,8.9,5.8,8.1820192
2009,1,21,31.9,33.7,30.0,64.2,69.2,59.4,2.5,9.8,9.2,5.8,8.1606035
2010,1,22,31.9,33.7,30.0,64.8,69.8,59.9,2.5,10.0,9.4,5.8,8.1309195
2011,1,23,31.8,33.7,29.9,65.3,70.3,60.5,2.5,10.2,9.8,5.8,8.0976162
2012,1,24,31.8,33.7,29.8,65.8,70.8,61.0,2.5,10.4,10.0,5.8,8.0653591
2013,1,25,31.7,33.7,29.7,66.4,71.3,61.6,2.5,10.5,10.3,5.8,8.0388079
2014,1,26,31.7,33.7,29.5,66.9,71.8,62.1,2.5,10.7,10.5,5.8,8.0226145
2015,1,27,31.6,33.8,29.4,67.4,72.3,62.6,2.5,10.8,10.7,5.8,8.0214396
2016,1,28,31.6,33.8,29.3,67.9,72.7,63.2,2.5,11.0,11.0,5.9,8.0214396
2017,1,29,31.6,33.9,29.2,67.9,72.7,63.2,2.5,11.1,11.2,5.9,8.0214396
2018,1,30,31.6,34.0,29.1,67.9,72.7,63.2,2.5,11.3,11.5,6.0,8.0214396
2019,1,31,31.6,34.1,29.0,67.9,72.7,63.2,2.5,11.5,11.8,6.1,8.0214396
2020,1,32,31.6,34.1,29.0,67.9,72.7,63.2,2.5,11.5,11.8,6.1,8.0214396
2005,3,33,34.9,35.8,34.0,58.9,56.7,60.8,4.4,25.0,19.5,28.0,7.9667625
2006,3,34,35.0,35.9,34.1,59.5,57.3,61.3,4.1,24.5,18.9,27.5,7.9384661
2007,3,35,35.0,36.0,34.2,60.1,58.0,61.8,4.1,24.0,18.2,26.9,7.8895159
2008,3,36,35.1,36.0,34.2,60.6,58.7,62.3,4.5,23.4,17.6,26.3,7.8626928
2009,3,37,35.1,36.0,34.3,61.2,59.3,62.8,4.8,22.8,17.0,25.7,7.8812718
2010,3,38,35.0,35.9,34.2,61.7,60.0,63.3,5.0,22.3,16.5,25.1,7.9263449
2011,3,39,34.9,35.7,34.1,62.3,60.6,63.7,4.9,21.9,16.0,24.5,7.9596453
2012,3,40,34.6,35.4,33.9,62.8,61.2,64.2,4.8,21.4,15.6,23.9,7.9515705
2013,3,41,34.3,35.0,33.6,63.3,61.8,64.6,4.3,21.1,15.3,23.4,7.9232655
2014,3,42,33.9,34.7,33.2,63.9,62.4,65.1,4.4,20.8,15.1,22.9,7.8952208
2015,3,43,33.6,34.3,32.9,64.4,63.0,65.5,5.0,20.6,14.9,22.5,7.8687429
2016,3,44,33.2,33.9,32.5,64.9,63.6,66.0,5.8,20.4,14.8,22.2,7.8687429
2017,3,45,32.8,33.5,32.1,64.9,63.6,66.0,6.1,20.3,14.8,21.9,7.8687429
2018,3,46,32.4,33.1,31.7,64.9,63.6,66.0,6.2,20.2,14.9,21.7,7.8687429
2019,3,47,32.1,32.8,31.4,64.9,63.6,66.0,7.2,20.2,15.1,21.7,7.8687429
2020,3,48,32.1,32.8,31.4,64.9,63.6,66.0,7.2,20.2,15.1,21.7,7.8687429
2005,9,49,31.6,31.4,31.7,14.2,12.4,16.0,21.6,53.0,54.2,64.4,
2006,9,50,31.7,31.5,31.7,14.6,12.8,16.5,19.6,52.8,54.2,63.4,
2007,9,51,31.7,31.6,31.7,15.1,13.3,16.9,17.5,52.6,54.2,62.5,
2008,9,52,31.7,31.7,31.7,15.6,13.7,17.4,16.6,52.4,54.1,61.5,
2009,9,53,31.7,31.7,31.6,16.0,14.2,17.9,16.3,52.1,53.8,60.6,
2010,9,54,31.7,31.7,31.6,16.5,14.6,18.4,16.0,51.9,53.6,59.7,
2011,9,55,31.7,31.7,31.5,17.0,15.1,18.9,15.6,51.7,53.5,58.8,
2012,9,56,31.6,31.7,31.4,17.5,15.6,19.4,15.0,51.4,53.3,58.0,
2013,9,57,31.5,31.7,31.2,18.0,16.2,19.9,15.1,51.2,53.1,57.2,
2014,9,58,31.4,31.7,31.1,18.6,16.7,20.5,14.9,50.9,53.0,56.4,
2015,9,59,31.4,31.6,31.0,19.1,17.2,21.0,14.7,50.6,52.8,55.7,
2016,9,60,31.3,31.6,30.8,19.7,17.8,21.6,14.2,50.4,52.8,55.0,
2017,9,61,31.2,31.6,30.7,19.7,17.8,21.6,13.8,50.4,52.9,54.5,
2018,9,62,31.2,31.6,30.6,19.7,17.8,21.6,14.0,50.2,53.0,53.9,
2019,9,63,31.1,31.6,30.5,19.7,17.8,21.6,15.3,50.1,53.1,53.4,
2020,9,64,31.1,31.6,30.5,19.7,17.8,21.6,15.3,50.1,53.1,53.4,
2005,7,65,49.6,51.6,47.5,54.0,54.6,53.3,2.5,23.3,13.2,25.6,5.1412024
2006,7,66,49.4,51.5,47.3,54.4,55.2,53.5,2.5,23.0,13.2,25.2,5.1302562
2007,7,67,49.2,51.2,47.0,54.8,55.8,53.7,2.5,22.7,13.3,24.9,5.1334095
2008,7,68,48.9,50.9,46.7,55.2,56.5,53.9,2.5,22.4,13.4,24.6,5.1503906
2009,7,69,48.5,50.5,46.4,55.6,57.1,54.1,2.5,22.1,13.5,24.1,5.1809144
2010,7,70,48.1,50.0,46.1,56.0,57.7,54.3,2.5,21.9,13.6,23.7,5.2247396
2011,7,71,47.6,49.5,45.6,56.4,58.3,54.5,2.5,21.9,13.8,23.5,5.2815828
2012,7,72,47.1,49.0,45.2,56.8,59.0,54.7,2.5,21.9,14.1,23.4,5.3511949
2013,7,73,46.6,48.4,44.7,57.2,59.6,54.9,2.5,22.0,14.5,23.4,5.4332981
2014,7,74,46.0,47.8,44.2,57.6,60.2,55.1,2.5,22.1,14.9,23.5,5.5276103
2015,7,75,45.5,47.1,43.7,58.0,60.8,55.3,2.5,22.2,15.3,23.8,5.6338878
2016,7,76,44.9,46.5,43.2,58.4,61.4,55.5,2.5,22.5,15.8,24.1,5.6338878
2017,7,77,44.3,45.8,42.7,58.4,61.4,55.5,2.5,22.7,16.4,24.6,5.6338878
2018,7,78,43.7,45.2,42.1,58.4,61.4,55.5,2.5,23.0,16.9,25.1,5.6338878
2019,7,79,43.1,44.5,41.6,58.4,61.4,55.5,2.5,23.2,17.5,25.6,5.6338878
2020,7,80,43.1,44.5,41.6,58.4,61.4,55.5,2.5,23.2,17.5,25.6,5.6338878
2005,8,81,27.7,31.6,24.0,12.2,9.6,14.4,15.5,33.8,20.4,26.9,8.641613
2006,8,82,28.0,31.9,24.2,12.7,10.0,14.9,15.3,32.7,19.4,25.7,8.5801048
2007,8,83,28.2,32.1,24.5,13.1,10.5,15.4,14.1,31.7,18.5,24.5,8.5408554
2008,8,84,28.4,32.2,24.7,13.6,11.0,15.9,12.9,30.7,17.6,23.4,8.5103979
2009,8,85,28.5,32.3,24.8,14.2,11.5,16.4,11.8,29.9,17.1,22.5,8.4848251
2010,8,86,28.6,32.4,25.0,14.7,12.0,17.0,11.0,29.3,16.7,21.9,8.4537535
2011,8,87,28.7,32.4,25.1,15.3,12.6,17.5,10.0,28.8,16.5,21.4,8.4151344
2012,8,88,28.8,32.5,25.2,15.9,13.2,18.1,9.3,28.5,16.5,21.2,8.3625727
2013,8,89,28.9,32.5,25.3,16.4,13.8,18.7,8.7,28.3,16.7,21.1,8.3109894
2014,8,90,29.0,32.5,25.4,17.1,14.4,19.3,8.5,28.3,17.1,21.2,8.260457
2015,8,91,29.1,32.6,25.6,17.7,15.1,19.9,8.1,28.2,17.5,21.4,8.2114124
2016,8,92,29.2,32.6,25.8,18.3,15.8,20.5,7.8,28.2,18.1,21.6,8.2114124
2017,8,93,29.4,32.7,26.0,18.3,15.8,20.5,7.2,28.2,18.7,21.9,8.2114124
2018,8,94,29.5,32.8,26.2,18.3,15.8,20.5,6.8,28.3,19.5,22.4,8.2114124
2019,8,95,29.7,32.9,26.4,18.3,15.8,20.5,6.7,28.4,20.3,22.9,8.2114124
2020,8,96,29.7,32.9,26.4,18.3,15.8,20.5,6.7,28.4,20.3,22.9,8.2114124
2005,3,97,34.0,31.4,36.7,53.4,48.4,58.8,5.2,26.1,24.5,35.5,
2006,3,98,33.8,31.2,36.4,54.2,49.2,59.5,5.5,25.6,24.0,34.5,
2007,3,99,33.5,31.0,36.1,55.0,50.1,60.1,5.7,25.3,23.7,33.5,
2008,3,100,33.2,30.7,35.8,55.8,50.9,60.8,5.4,24.8,23.4,32.5,
2009,3,101,32.9,30.5,35.3,56.5,51.8,61.4,5.5,24.5,23.1,31.6,
2010,3,102,32.5,30.1,34.8,57.3,52.6,62.0,6.0,24.3,22.9,30.7,
2011,3,103,32.0,29.8,34.2,58.0,53.5,62.6,6.3,24.1,22.8,29.8,
2012,3,104,31.4,29.4,33.5,58.8,54.3,63.2,6.2,24.0,22.7,29.0,
2013,3,105,30.7,28.9,32.6,59.5,55.2,63.8,5.3,23.9,22.8,28.3,
2014,3,106,30.0,28.5,31.6,60.2,56.0,64.3,4.9,23.9,22.8,27.7,
2015,3,107,29.2,28.0,30.5,60.9,56.9,64.9,4.7,23.7,22.9,27.2,
2016,3,108,28.4,27.6,29.3,61.6,57.7,65.4,4.9,23.7,23.1,26.8,
2017,3,109,27.7,27.3,28.2,61.6,57.7,65.4,5.2,23.7,23.4,26.5,
2018,3,110,27.0,27.0,27.0,61.6,57.7,65.4,5.4,23.7,23.7,26.4,
