year_code,country_code,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
2005,1,1,6.76,7.01,6.46,12.2,18.2,6.2,99.80519484,99.92909847,99.3057628,99.23464422,99.48998183,98.20544302,0,0.5,0.7,2.2,2.9,0.7
2006,1,2,6.32,6.52,6.09,11.2,16.9,5.7,99.75033789,99.86800895,99.27332025,99.23461957,99.47343153,98.26651823,0,0.5,0.7,2.2,2.8,0.5
2007,1,3,6.04,6.38,5.65,11.5,17,6.1,99.69595411,99.80691943,99.24087771,99.23549716,99.45688123,98.32759343,0,0.5,0.7,2.1,2.8,0.5
2008,1,4,6.14,6.57,5.65,11.5,17.1,6.1,99.6414571,99.74582992,99.20843516,99.23607708,99.44033093,98.38866864,0,0.5,0.6,2,2.7,0.5
2009,1,5,8.34,9.53,7.01,12,18.1,5.9,99.5868457,99.6847404,99.17599261,99.23635504,99.42378064,98.44974385,0,0.5,0.6,2,2.7,0.5
2010,1,6,8.06,8.79,7.23,12.1,17.8,6.4,99.53213067,99.62365088,99.14355006,99.23634886,99.40723034,98.51081905,0,0.5,0.6,1.9,2.6,0.4
2011,1,7,7.51,7.96,7.01,11.3,16.5,6.1,99.47721571,99.56256136,99.11110751,99.23589396,99.39068004,98.57189426,0,0.4,0.6,1.8,2.6,0.4
2012,1,8,7.29,7.71,6.82,11.8,17.5,6.2,99.42171918,99.50147184,99.07866496,99.23432608,99.37412975,98.63296946,0,0.4,0.6,1.8,2.6,0.3
2013,1,9,7.07,7.5,6.6,12.1,17.9,6.4,99.36619078,99.44038232,99.04622241,99.23268617,99.35757945,98.69404467,0,0.4,0.6,1.8,2.6,0.3
2014,1,10,6.91,7.38,6.39,12.7,18.7,6.8,99.31064352,99.3792928,99.01377986,99.23098502,99.34102915,98.75511987,0,0.5,0.6,1.7,2.6,0.3
2015,1,11,6.91,7.46,6.29,13,19.2,6.9,99.25507123,99.31820329,98.98133731,99.22922139,99.32447885,98.81619508,0,0.4,0.6,1.7,2.7,0.3
2016,1,12,7,7.68,6.24,11.9,17.6,6.2,99.19947682,99.25711377,98.94889476,99.22739547,99.30792856,98.87727028,0,0.4,0.6,1.7,2.7,0.4
2017,1,13,6.34,6.78,5.85,13,19.8,6.4,99.14388406,99.19602425,98.91645221,99.22553764,99.29137826,98.93834549,0,0.4,0.6,1.7,2.8,0.2
2018,1,14,5.83,6.14,5.49,12,17.9,6.2,99.08828896,99.13493473,98.88400966,99.22363119,99.27482796,98.99942069,0,0.4,0.6,1.7,2.9,0.3
2019,1,15,5.66,6.03,5.25,11.8,17.6,6.1,99.03268117,99.07384521,98.85156711,99.22164984,99.25827766,99.0604959,0,0.4,0.5,1.7,2.9,0.3
2020,1,16,9.48,6.03,5.25,11.8,17.6,6.1,99.03286158,99.07384521,98.85156711,99.22181066,99.25827766,99.0604959,0,0.4,0.5,1.7,2.9,0.3
2005,2,17,5.08,5.07,5.1,11.9,18.7,5.2,99.8817868,99.85302032,99.9963302,98.8536874,99.69304221,95.51131593,0,0.7,0.9,3.2,4.9,0.9
2006,2,18,4.62,4.62,4.63,12.1,19.1,5.4,99.88154042,99.85302032,99.9963302,98.86083682,99.69304221,95.51131593,0,0.7,0.9,3.2,4.9,0.9
2007,2,19,4.62,4.73,4.5,12.4,19.5,5.5,99.88129549,99.85302032,99.9963302,98.86794461,99.69304221,95.51131593,0,0.7,0.8,3,4.8,1
2008,2,20,5.78,6.1,5.42,12.7,20,5.6,99.8810546,99.85302032,99.9963302,98.87501291,99.69304221,95.51131593,0,0.6,0.8,2.9,4.6,1
2009,2,21,9.25,10.28,8.06,12.8,20,5.7,99.88081511,99.85302032,99.9963302,98.88203953,99.69304221,95.51131593,0,0.6,0.8,2.7,4.5,0.8
