education_key,literacy_rate_adult,literacy_rate_adult_male,literacy_rate_adult_female,school_enrollment_primary,school_enrollment_primary_male,school_enrollment_primary_female,school_enrollment_secondary,school_enrollment_secondary_male,school_enrollment_secondary_female,school_enrollment_tertiary,school_completion_rate_primary,school_completion_rate_primary_male,school_completion_rate_primary_female,government_expenditure
1,,,,97.36457062,97.77118683,96.93871307,101.3911896,102.4870605,100.2343826,,,,,4.765880108
2,,,,98.88063049,99.23444366,98.50982666,101.7282486,102.7323608,100.6695023,,,,,
3,,,,98.96647644,99.20018768,98.72110748,101.9034882,103.0018997,100.7483673,63.60005951,,,,4.766409874
4,,,,98.01331329,98.10118103,97.92086029,102.3444366,103.5259323,101.104248,63.76739883,,,,4.62612009
5,,,,99.00879669,98.93639374,99.08512878,102.7344437,103.9080811,101.5036087,63.0657692,,,,4.840579987
6,,,,98.64160156,98.39224243,98.90505981,102.3984833,103.5829773,101.1566925,61.65584946,,,,5.356369972
7,,,,98.1893692,97.84992981,98.54882813,103.3489609,104.3807678,102.2668762,63.46731949,,,,5.262050152
8,,,,99.51828003,99.0009079,100.0669785,109.9874878,110.1125031,109.8560715,63.98077011,,,,
9,,,,100.3407135,99.80014801,100.9137268,109.4859924,109.363327,109.6153183,65.33229828,,,,
10,,,,101.5366592,100.9486923,102.1586838,109.3330994,109.0323029,109.6512222,65.61290741,,,,
11,,,,102.4850769,102.0841522,102.907959,110.3565292,109.8839493,110.8576202,64.78695679,,,,
12,,,,101.0238724,100.9814529,101.0684662,112.5142822,111.6930923,113.3864594,66.43917847,,,,
13,,,,100.9436798,101.062439,100.8191376,113.7628632,113.0466766,114.5206375,68.92250824,,,,
14,,,,101.501091,101.7166214,101.2753983,114.1235123,113.5315323,114.7476807,70.11302185,,,,
15,,,,100.9897537,101.2723236,100.6940231,114.3332672,113.869751,114.8205338,75.69882202,,,,
16,,,,,,,,,,,,,,
17,,,,101.8740234,102.411377,101.3106003,95.0524826,94.20211029,95.9484787,80.63482666,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,99.45543671,99.85974884,99.0333786,96.18649292,96.06963348,96.30905914,88.72641754,,,,
26,,,,99.67337799,99.83744049,99.50208282,96.92453766,96.36253357,97.51304626,88.6268692,,,,
27,,,,100.2999115,100.3120422,100.287262,97.65254974,97.15371704,98.17357635,88.88941193,,,,
28,,,,101.3628616,101.4457779,101.276413,98.76992798,99.05283356,98.47470856,88.83505249,,,,
29,,,,101.8214417,102.2044601,101.4219971,98.95233917,99.19851685,98.69555664,88.16738892,98.8321991,100.4294662,97.16603088,
30,,,,101.2565613,101.3142395,101.196373,99.27558136,99.73565674,98.79605865,88.29917908,100.0926971,104.5101929,95.47634125,
31,,,,100.9813004,100.634079,101.3437424,100.0634308,100.9021225,99.18945313,87.88871002,100.4890518,97.75263977,103.3436279,
32,,,,,,,,,,,,,,
33,91.63027191,93.1904068,90.21041107,108.6008377,109.5725479,107.5982437,82.30407715,80.5658493,84.03331757,24.21640015,100.5736389,99.62754059,101.5484009,4.845689774
34,91.73451996,93.90119934,89.8345108,108.1747665,109.2462234,107.0704193,84.08560181,81.9230423,86.24868011,24.79043007,100.8881989,100.1787109,101.6210022,4.699920177
35,92.79517365,94.44151306,91.35555267,108.7997131,109.8989563,107.6687775,84.90705109,82.3140564,87.52310181,25.42106056,101.9606934,101.3964691,102.5415192,4.690509796
