health_key,domestic_health_expenditure,num_hospital_beds,num_physicians,num_nurses,immunization_bcg,immunization_dpt,immunization_hepb,immunization_measles,immunization_polio,mort_infant,mort_infant_male,mort_infant_female,mort_non_communicable_disease,mort_non_communicable_disease_male,mort_non_communicable_disease_female,mort_unintentional_poison,mort_unintentional_poison_male,mort_unintentional_poison_female,mort_traffic_injury,mort_traffic_injury_male,mort_traffic_injury_female,mort_maternal,stillbirth_rate,fertility_rate
1,6.620224,3.1,,9.9467,,93,14,94,93,5.2,5.6,4.8,12.7,15.2,10.1,0.3,0.4,0.1,9.5,13.0,6.0,11.0,2.971604709,1.5434
2,6.79418945,3.02,1.9086,10.0236,,95,14,93,95,5.1,5.6,4.7,12.3,14.7,9.9,0.2,0.3,0.2,9.1,12.3,6.0,11.0,3.037840866,1.5862
3,6.88177204,2.96,,10.1208,,94,14,94,99,5.1,5.5,4.7,12.2,14.7,9.8,0.4,0.5,0.2,8.9,12.7,5.1,11.0,3.099828202,1.6589
4,7.0158391,2.85,1.959,10.289,,92,28,93,96,5.0,5.4,4.6,11.9,14.2,9.6,0.3,0.4,0.2,8.0,11.3,4.8,12.0,3.06817921,1.6808
5,7.87023449,2.8,,10.3743,,91,42,91,93,5.0,5.3,4.6,11.5,13.8,9.3,0.3,0.4,0.2,7.2,10.1,4.3,12.0,2.992871117,1.668
6,7.81783676,2.78,2.0384,9.3233,,89,56,90,90,4.9,5.3,4.5,11.1,13.2,9.0,0.3,0.4,0.3,7.3,10.1,4.6,11.0,2.92952011,1.6269
7,7.63263273,2.8,,9.2368,,87,70,88,87,4.8,5.2,4.5,10.8,12.9,8.9,0.3,0.4,0.2,6.3,9.0,3.7,11.0,2.915602009,1.61
8,7.72764158,2.79,2.3962,9.3473,,91,70,89,91,4.8,5.1,4.4,10.7,12.7,8.8,0.3,0.3,0.2,6.7,9.3,4.2,11.0,2.886789648,1.6142
9,7.67859077,2.72,2.4509,9.4788,,91,55,90,91,4.7,5.1,4.4,10.5,12.4,8.6,0.3,0.4,0.2,6.3,8.5,4.0,11.0,2.87091403,1.587
10,7.54830933,2.67,2.4961,9.7475,,91,55,90,91,4.7,5.0,4.3,10.4,12.3,8.5,0.3,0.4,0.2,5.8,8.3,3.3,11.0,2.882468529,1.5818
11,7.91004276,2.62,2.5388,9.8188,,91,69,89,91,4.6,4.9,4.3,10.3,12.0,8.6,0.3,0.4,0.3,5.8,8.3,3.2,11.0,2.837948449,1.563
12,8.01765537,2.6,2.3105,9.9194,,91,70,89,91,4.5,4.8,4.2,10.4,12.2,8.6,0.3,0.4,0.2,5.8,8.0,3.7,10.0,2.810181019,1.5433
13,7.89897966,2.53,2.6102,9.9491,,91,71,90,91,4.4,4.7,4.1,10.1,11.9,8.3,0.4,0.5,0.3,5.6,7.8,3.4,10.0,2.811976188,1.4961
14,7.93011045,2.55,2.4251,9.9874,,91,71,90,91,4.3,4.6,4.0,9.8,11.5,8.1,0.3,0.4,0.3,5.4,7.5,3.4,,2.795347587,1.4988
