population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
1,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
2,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
3,49.59554423,50.40445577,80.396,1.199018842,0.041978149,5.582576807,5.195249138,5.677346607,5.297167446,6.459286243,6.0691307,7.016210363,6.534007591,7.167818777,6.749821129,6.955330654,6.709564693,6.79856066,6.608772987,7.044749065,6.817405191,8.147931262,7.875085519,8.344830555,8.154603271,7.376706651,7.355963049,6.419873321,6.484376864,5.105727597,5.203285966,3.771504978,3.972699365,3.031151883,3.363472845,2.417958577,2.958486589,2.682435999,4.650907656
4,49.60517899,50.39482101,80.578,1.309029905,0.150191984,5.638048049,5.256224494,5.582972203,5.198464112,6.249929326,5.867000055,6.973637307,6.515119869,7.190215753,6.743369803,7.034844785,6.791606626,6.779456855,6.62078375,6.939375148,6.729620165,7.794641111,7.538979776,8.400088407,8.188075755,7.485489528,7.443523959,6.487170285,6.564880462,5.317243946,5.429166362,3.891978053,4.084862524,3.018988408,3.348828361,2.436501474,2.945053294,2.779419363,4.734440633
5,49.61158911,50.38841089,80.758,1.364893948,0.210657043,5.685148339,5.309201535,5.524390704,5.133350035,6.043535012,5.666173845,6.879828321,6.445390882,7.205435106,6.733256411,7.117261508,6.861472396,6.778764964,6.656739661,6.868473626,6.676429007,7.461277115,7.225307749,8.389405478,8.162345361,7.591572391,7.523976542,6.559465841,6.642243174,5.509511931,5.637269085,4.03852043,4.226493344,3.032856402,3.358715417,2.447148852,2.929842885,2.867403979,4.811792671
6,49.61351565,50.38648435,80.937,1.333268714,0.177253215,5.710553443,5.340293639,5.49078351,5.093167067,5.86257972,5.488604454,6.737273849,6.321837143,7.206686559,6.718814713,7.192060021,6.911889613,6.804067193,6.713328178,6.811581149,6.642950575,7.195837658,6.978692831,8.288542758,8.054652402,7.691363283,7.596828922,6.651539198,6.729433251,5.669778574,5.812065937,4.206853247,4.395203048,3.081689983,3.400042009,2.453167926,2.916180734,2.945641929,4.886015484
7,49.61026262,50.38973738,81.096,1.174952642,0.141129968,5.761067749,5.408416019,5.451986307,5.058195756,5.773901156,5.385818013,6.679050312,6.273052638,7.11355949,6.682913712,7.209089297,6.931888241,6.842073687,6.751615559,6.738116667,6.60570242,6.962675035,6.763595433,8.075148792,7.843467579,7.808209249,7.67226168,6.755163681,6.811141455,5.817898909,5.943758371,4.380971634,4.574381227,3.147598892,3.460706876,2.437950563,2.884690411,3.045538579,4.948394611
8,49.60290826,50.39709174,81.137,1.136362333,0.868694356,5.743126089,5.397732051,5.449037697,5.065175019,5.672679498,5.274587822,6.594962356,6.183467571,7.074932069,6.689806092,7.176188579,6.916713524,6.914439923,6.820058401,6.684955955,6.590258873,6.804027608,6.625674273,7.767020893,7.545895132,7.918593922,7.749966931,6.884472845,6.905980379,5.924094679,6.040345715,4.596046851,4.783101837,3.237899169,3.549114052,2.430127379,2.867891749,3.127394487,4.99423058
9,49.59419104,50.40580896,81.178,1.107109995,0.838999351,5.68422301,5.339739687,5.488462146,5.117481917,5.556945315,5.156551127,6.468751755,6.045677757,7.102992277,6.736850353,7.09115568,6.865203751,7.00421496,6.908494077,6.652733149,6.590364704,6.705100951,6.552577005,7.410766653,7.203202158,7.983801914,7.796496575,7.038953544,7.011380263,5.994625202,6.111383276,4.838249073,5.003090239,3.348545912,3.661989453,2.438487541,2.870370037,3.19199092,5.02914762
10,49.58769458,50.41230542,81.218,1.05460142,0.792587518,5.622058721,5.276965652,5.552825389,5.194831921,5.439826458,5.045476123,6.311672246,5.876274353,7.159814495,6.784322897,6.989858086,6.805197001,7.077468446,6.989960351,6.647745679,6.608186175,6.634915686,6.513298829,7.075868231,6.882697604,7.961324329,7.768253508,7.19935055,7.116734518,6.060879531,6.179279796,5.072596894,5.205410804,3.483391097,3.79852513,2.471614136,2.89807981,3.238790027,5.056505526
11,49.58587344,50.41412656,81.259,0.796807975,0.527807559,5.576356385,5.2319363,5.610586976,5.262730468,5.346180152,4.964071635,6.142652951,5.696794444,7.188698386,6.786042473,6.92409004,6.77299363,7.1046753,7.038463254,6.67366094,6.649778417,6.57361693,6.484740837,6.807358967,6.630992488,7.836974838,7.645592327,7.340673253,7.209590294,6.153753402,6.261633154,5.267973187,5.371190027,3.650386042,3.958545423,2.531563516,2.953355067,3.270798737,5.081549762
12,49.58943397,50.41056603,81.3,1.182792155,0.913336126,5.458911507,5.116563046,5.624402266,5.285350235,5.339551754,4.979622806,5.988783453,5.566307816,7.134659251,6.715982092,6.999741438,6.810710541,7.106259002,7.031147471,6.735099222,6.712563493,6.534163577,6.4666152,6.621814152,6.466009994,7.629856732,7.450353847,7.426282813,7.285236064,6.263646212,6.361189317,5.370357489,5.491758369,3.833939462,4.128642478,2.588923293,3.010471654,3.343608378,5.121475579
