fact_key,month_key,country_key,health_key,population_key,qualityoflife_key,nutrition_key,education_key,event_key,life_satis,hdi,gni
1,1,1,1,1,1,1,1,,7.418,0.894,34810
2,2,1,1,1,1,1,1,,7.418,0.894,34810
3,3,1,1,1,1,1,1,,7.418,0.894,34810
4,4,1,1,1,1,1,1,,7.418,0.894,34810
5,5,1,1,1,1,1,1,,7.418,0.894,34810
6,6,1,1,1,1,1,1,,7.418,0.894,34810
7,7,1,1,1,1,1,1,1,7.418,0.894,34810
8,8,1,1,1,1,1,1,,7.418,0.894,34810
9,9,1,1,1,1,1,1,,7.418,0.894,34810
10,10,1,1,1,1,1,1,,7.418,0.894,34810
11,11,1,1,1,1,1,1,,7.418,0.894,34810
12,12,1,1,1,1,1,1,,7.418,0.894,34810
13,13,2,2,2,2,2,2,,7.437,0.898,38510
14,14,2,2,2,2,2,2,3,7.437,0.898,38510
15,15,2,2,2,2,2,2,3,7.437,0.898,38510
16,16,2,2,2,2,2,2,3,7.437,0.898,38510
17,17,2,2,2,2,2,2,3,7.437,0.898,38510
18,18,2,2,2,2,2,2,3,7.437,0.898,38510
19,19,2,2,2,2,2,2,3,7.437,0.898,38510
20,20,2,2,2,2,2,2,3,7.437,0.898,38510
21,21,2,2,2,2,2,2,3,7.437,0.898,38510
22,22,2,2,2,2,2,2,3,7.437,0.898,38510
23,23,2,2,2,2,2,2,3,7.437,0.898,38510
24,24,2,2,2,2,2,2,3,7.437,0.898,38510
25,25,3,3,3,3,3,3,3,7.482,0.896,43090
26,26,3,3,3,3,3,3,3,7.482,0.896,43090
27,27,3,3,3,3,3,3,3,7.482,0.896,43090
28,28,3,3,3,3,3,3,3,7.482,0.896,43090
29,29,3,3,3,3,3,3,3,7.482,0.896,43090
30,30,3,3,3,3,3,3,3,7.482,0.896,43090
31,31,3,3,3,3,3,3,3,7.482,0.896,43090
32,32,3,3,3,3,3,3,3,7.482,0.896,43090
33,33,3,3,3,3,3,3,3,7.482,0.896,43090
34,34,3,3,3,3,3,3,3,7.482,0.896,43090
35,35,3,3,3,3,3,3,3,7.482,0.896,43090
36,36,3,3,3,3,3,3,3,7.482,0.896,43090
37,37,4,4,4,4,4,4,3,7.486,0.898,45650
38,38,4,4,4,4,4,4,3,7.486,0.898,45650
39,39,4,4,4,4,4,4,3,7.486,0.898,45650
40,40,4,4,4,4,4,4,3,7.486,0.898,45650
41,41,4,4,4,4,4,4,3,7.486,0.898,45650
42,42,4,4,4,4,4,4,2,7.486,0.898,45650
43,42,4,4,4,4,4,4,3,7.486,0.898,45650
44,43,4,4,4,4,4,4,2,7.486,0.898,45650
45,43,4,4,4,4,4,4,3,7.486,0.898,45650
46,44,4,4,4,4,4,4,2,7.486,0.898,45650
47,44,4,4,4,4,4,4,3,7.486,0.898,45650
48,45,4,4,4,4,4,4,2,7.486,0.898,45650
49,45,4,4,4,4,4,4,3,7.486,0.898,45650
50,46,4,4,4,4,4,4,2,7.486,0.898,45650
51,46,4,4,4,4,4,4,3,7.486,0.898,45650
52,47,4,4,4,4,4,4,2,7.486,0.898,45650
53,47,4,4,4,4,4,4,3,7.486,0.898,45650
54,48,4,4,4,4,4,4,2,7.486,0.898,45650
55,48,4,4,4,4,4,4,3,7.486,0.898,45650
56,49,5,5,5,5,5,5,2,7.488,0.898,43230
57,49,5,5,5,5,5,5,3,7.488,0.898,43230
58,50,5,5,5,5,5,5,2,7.488,0.898,43230
59,50,5,5,5,5,5,5,3,7.488,0.898,43230
